,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
2055,1.64,0.0,0.02
2062,-0.01,0.0,-0.0
2067,0.03,0.0,0.0
2071,0.07,0.0,0.01
2079,1.98,1.0,2.6
2081,1.55,2.0,1.69
2085,-0.03,0.0,-0.01
2088,-0.04,0.0,0.0
2092,-0.01,0.0,0.0
2094,0.04,0.0,0.0
2096,0.89,0.0,0.01
2099,2.16,2.0,2.15
2100,1.74,2.0,2.14
2104,1.52,0.0,0.03
2108,-0.04,0.0,-0.0
2109,-0.04,0.0,-0.0
2110,-0.04,0.0,-0.0
2113,-0.02,0.0,0.0
2118,-0.05,0.0,0.0
2132,-0.01,0.0,-0.0
2133,-0.01,0.0,-0.0
2139,-0.09,0.0,-0.1
2142,-0.09,0.0,-0.02
2148,2.39,2.0,2.4
2151,1.98,2.0,2.2
2152,2.7,2.0,2.24
2154,0.33,0.0,-0.07
2156,-0.03,0.0,-0.0
2158,0.03,0.0,-0.0
2159,-0.01,0.0,-0.0
2161,-0.02,0.0,0.0
2166,0.22,0.0,0.0
2170,2.4,3.0,2.35
2176,0.99,1.0,1.53
2177,1.47,2.0,1.38
2178,0.51,0.0,0.04
2179,-0.02,0.0,-0.0
2184,0.01,0.0,0.05
2185,-0.05,0.0,0.01
2188,-0.04,0.0,0.01
2189,0.0,0.0,0.02
2198,1.49,2.0,1.58
2204,0.03,0.0,-0.01
2209,0.01,0.0,0.02
2210,0.01,0.0,0.02
2211,0.01,0.0,0.02
2212,0.04,0.0,0.01
2217,2.63,3.0,2.58
2218,2.98,2.0,3.19
2223,2.88,3.0,2.69
2224,2.86,2.0,2.91
2225,2.54,2.0,2.2
2227,0.2,0.0,0.0
2228,0.1,0.0,-0.02
2229,0.1,0.0,-0.02
2230,0.14,0.0,0.04
2231,0.13,0.0,0.03
2232,0.06,0.0,0.0
2237,0.07,0.0,0.0
2239,0.17,0.0,-0.0
2241,2.31,2.0,3.28
2243,2.57,2.0,2.63
2253,-0.01,0.0,0.01
2254,-0.04,0.0,0.01
2257,-0.03,0.0,0.0
2261,0.06,0.0,0.0
2262,-0.02,0.0,0.0
2263,0.04,0.0,0.01
2264,0.49,0.0,-0.04
2268,1.87,2.0,1.86
2269,1.3,1.0,1.77
2276,-0.09,0.0,-0.0
2278,0.01,0.0,0.01
2279,0.06,0.0,0.01
2282,-0.01,0.0,-0.0
2285,-0.0,0.0,0.0
2287,-0.06,0.0,0.01
2288,-0.33,0.0,0.01
2292,0.0,0.0,0.02
2297,-0.43,0.0,-0.01
2299,-0.0,0.0,-0.0
2306,-0.03,0.0,0.0
2311,-0.0,0.0,-0.06
2313,2.63,4.0,2.88
2314,2.45,2.0,2.83
2319,1.63,3.0,1.97
2323,0.01,0.0,-0.0
2325,0.03,0.0,-0.0
2326,0.05,0.0,-0.01
2327,0.04,0.0,-0.01
2328,-0.03,0.0,-0.0
2329,-0.0,0.0,-0.0
2333,-0.03,0.0,-0.06
2335,0.26,0.0,-0.06
2338,2.46,3.0,2.45
2340,2.22,3.0,2.43
2342,2.41,2.0,2.18
2343,2.43,2.0,2.16
2351,-0.18,0.0,-0.07
2358,0.06,0.0,0.0
2361,3.1,4.0,3.55
2363,2.32,2.0,2.32
2365,1.69,2.0,1.48
2366,1.78,1.0,2.53
2367,1.37,2.0,1.83
2368,1.33,1.0,1.42
2370,0.25,0.0,0.0
2376,0.02,0.0,-0.0
2379,-0.04,0.0,-0.0
2380,-0.04,0.0,-0.0
2383,0.41,0.0,-0.06
2384,1.08,0.0,0.02
2390,1.52,2.0,1.73
2391,1.57,1.0,1.72
2397,-0.01,0.0,-0.0
2402,-0.01,0.0,0.0
2408,0.54,1.0,1.96
2419,-0.01,0.0,-0.0
2422,-0.0,0.0,-0.0
2423,-0.09,0.0,-0.07
2424,-0.03,0.0,-0.0
2426,-0.03,0.0,-0.0
2427,-0.03,0.0,-0.01
2432,1.46,0.0,0.18
2437,2.84,2.0,3.17
2439,2.55,1.0,2.66
2441,1.09,0.0,0.01
2445,-0.15,0.0,-0.07
2446,-0.04,0.0,-0.0
2452,-0.03,0.0,0.0
2453,-0.04,0.0,0.0
2458,0.2,0.0,-0.1
2461,0.48,0.0,0.01
2466,-0.06,0.0,0.02
2469,-0.02,0.0,-0.0
2471,-0.0,0.0,-0.01
2472,0.01,0.0,0.0
2473,0.04,0.0,0.0
2474,0.01,0.0,0.0
2480,0.77,0.0,0.01
2485,2.87,2.0,2.55
2486,2.57,2.0,2.04
2491,0.05,0.0,-0.0
2499,-0.02,0.0,-0.0
2504,0.66,0.0,0.02
2507,2.35,2.0,2.17
