ì˙éû,åé,ì˙,ójì˙,äOãCâ∑ìx,é∫äOã@â^ì]éûä‘,ìdóÕè¡îÔó ,ó‚ñ[î\óÕ
2022-08-30 13:00:00,8,30,1,26,60,1.2,5.7
2022-08-30 14:00:00,8,30,1,26,60,1.3,6.3
2022-08-30 15:00:00,8,30,1,24,60,1.3,5.9
2022-08-30 16:00:00,8,30,1,24,60,1.5,7.3
2022-08-31 08:00:00,8,31,2,25,59,1.1,4.5
2022-09-01 09:00:00,9,1,3,27,59,1.7,6.2
2022-09-01 10:00:00,9,1,3,29,60,1.4,5.4
2022-09-01 11:00:00,9,1,3,32,60,1.9,8.0
2022-09-01 12:00:00,9,1,3,33,60,2.3,8.6
2022-09-01 13:00:00,9,1,3,33,60,2.1,7.2
2022-09-01 14:00:00,9,1,3,33,60,2.2,8.2
2022-09-01 15:00:00,9,1,3,32,60,1.8,6.0
2022-09-01 16:00:00,9,1,3,31,60,2.1,7.2
2022-09-02 08:00:00,9,2,4,23,59,1.1,4.6
2022-09-02 09:00:00,9,2,4,23,3,0.1,0.2
2022-09-06 09:00:00,9,6,1,31,59,1.3,5.5
2022-09-06 10:00:00,9,6,1,32,60,1.7,7.2
2022-09-06 11:00:00,9,6,1,33,60,1.9,7.8
2022-09-06 12:00:00,9,6,1,33,60,2.2,6.7
2022-09-06 13:00:00,9,6,1,33,60,1.7,5.6
2022-09-06 14:00:00,9,6,1,31,60,1.8,6.9
2022-09-06 15:00:00,9,6,1,32,60,2.0,7.7
2022-09-06 16:00:00,9,6,1,31,60,2.2,7.4
2022-09-07 08:00:00,9,7,2,29,59,1.3,4.4
2022-09-07 09:00:00,9,7,2,29,3,0.1,0.2
2022-09-08 09:00:00,9,8,3,24,59,1.0,5.3
2022-09-08 10:00:00,9,8,3,25,60,1.1,5.4
2022-09-08 11:00:00,9,8,3,26,60,1.1,5.4
2022-09-08 12:00:00,9,8,3,25,60,1.2,5.9
2022-09-08 13:00:00,9,8,3,25,60,1.5,6.6
2022-09-08 14:00:00,9,8,3,25,60,1.2,6.0
2022-09-08 15:00:00,9,8,3,25,60,1.2,5.9
2022-09-08 16:00:00,9,8,3,24,60,1.1,5.9
2022-09-09 08:00:00,9,9,4,25,59,1.1,4.4
2022-09-09 09:00:00,9,9,4,24,3,0.1,0.2
2022-09-13 09:00:00,9,13,1,30,59,1.2,5.5
2022-09-13 10:00:00,9,13,1,29,60,1.6,6.0
2022-09-13 11:00:00,9,13,1,31,60,1.3,5.1
2022-09-13 12:00:00,9,13,1,32,60,1.3,5.1
2022-09-13 13:00:00,9,13,1,32,60,1.4,5.6
2022-09-13 14:00:00,9,13,1,32,60,1.4,5.7
2022-09-13 15:00:00,9,13,1,32,60,2.0,7.3
2022-09-13 16:00:00,9,13,1,31,60,1.9,7.0
2022-09-14 08:00:00,9,14,2,30,59,1.2,4.6
2022-09-14 09:00:00,9,14,2,29,3,0.1,0.2
2022-09-15 09:00:00,9,15,3,23,59,1.1,4.5
2022-09-15 10:00:00,9,15,3,24,60,1.1,4.8
2022-09-15 11:00:00,9,15,3,26,60,1.1,4.7
2022-09-15 12:00:00,9,15,3,26,60,1.5,6.0
2022-09-15 13:00:00,9,15,3,27,60,1.2,5.0
2022-09-15 14:00:00,9,15,3,26,60,1.2,4.8
2022-09-15 15:00:00,9,15,3,26,60,1.2,4.8
2022-09-15 16:00:00,9,15,3,26,60,1.1,5.3
2022-09-16 08:00:00,9,16,4,27,59,1.1,4.0
2022-09-20 09:00:00,9,20,1,29,60,1.2,5.1
2022-09-20 10:00:00,9,20,1,23,60,1.4,7.0
2022-09-20 11:00:00,9,20,1,23,60,1.1,5.8
2022-09-20 12:00:00,9,20,1,23,60,1.0,5.7
2022-09-20 13:00:00,9,20,1,21,60,1.0,5.5
2022-09-20 14:00:00,9,20,1,21,40,0.7,3.1
