“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-08-10 11:00:00,8,10,2,36,1,0.00892857142857143
2022-08-10 12:00:00,8,10,2,37,55,0.5044642857142858
2022-08-10 13:00:00,8,10,2,37,1,0.00892857142857143
2022-08-10 14:00:00,8,10,2,36,55,0.47767857142857145
2022-08-10 15:00:00,8,10,2,36,1,0.004464285714285715
2022-08-10 16:00:00,8,10,2,35,55,0.5
2022-08-11 08:00:00,8,11,3,33,55,0.3080357142857143
2022-08-11 09:00:00,8,11,3,35,60,0.5714285714285715
2022-08-11 10:00:00,8,11,3,34,60,0.6294642857142857
2022-08-11 11:00:00,8,11,3,36,60,0.6339285714285714
2022-08-11 12:00:00,8,11,3,36,60,0.6294642857142857
2022-08-11 13:00:00,8,11,3,36,60,0.6473214285714286
2022-08-11 14:00:00,8,11,3,34,60,0.6383928571428572
2022-08-11 15:00:00,8,11,3,33,60,0.6428571428571429
2022-08-11 16:00:00,8,11,3,32,60,0.5133928571428572
2022-08-11 17:00:00,8,11,3,32,60,0.625
2022-08-11 18:00:00,8,11,3,31,1,0.0
2022-08-12 08:00:00,8,12,4,31,56,0.25446428571428575
2022-08-12 10:00:00,8,12,4,34,56,0.4196428571428572
2022-08-12 12:00:00,8,12,4,35,56,0.5
2022-08-12 13:00:00,8,12,4,35,1,0.00892857142857143
2022-08-12 14:00:00,8,12,4,33,56,0.3973214285714286
2022-08-12 15:00:00,8,12,4,32,1,0.00892857142857143
2022-08-12 16:00:00,8,12,4,32,55,0.23660714285714288
2022-08-15 08:00:00,8,15,0,31,56,0.2410714285714286
2022-08-15 10:00:00,8,15,0,33,56,0.4955357142857143
2022-08-15 12:00:00,8,15,0,35,56,0.4955357142857143
2022-08-15 14:00:00,8,15,0,35,56,0.26339285714285715
2022-08-15 16:00:00,8,15,0,35,56,0.5089285714285715
2022-08-16 08:00:00,8,16,1,33,56,0.4017857142857143
2022-08-16 09:00:00,8,16,1,35,60,0.6026785714285715
2022-08-16 10:00:00,8,16,1,35,60,0.6473214285714286
2022-08-16 11:00:00,8,16,1,38,60,0.6473214285714286
2022-08-16 12:00:00,8,16,1,38,60,0.6160714285714286
2022-08-16 13:00:00,8,16,1,37,60,0.6205357142857143
2022-08-16 14:00:00,8,16,1,37,60,0.6160714285714286
2022-08-16 15:00:00,8,16,1,36,60,0.6383928571428572
2022-08-16 16:00:00,8,16,1,35,60,0.5401785714285714
2022-08-16 17:00:00,8,16,1,33,11,0.00892857142857143
2022-08-17 08:00:00,8,17,2,30,56,0.20089285714285715
2022-08-17 10:00:00,8,17,2,29,56,0.38392857142857145
2022-08-17 12:00:00,8,17,2,34,56,0.38392857142857145
2022-08-17 14:00:00,8,17,2,33,56,0.23660714285714288
2022-08-17 16:00:00,8,17,2,30,56,0.22321428571428573
2022-08-18 08:00:00,8,18,3,26,56,0.21875000000000003
2022-08-18 09:00:00,8,18,3,27,60,0.25
2022-08-18 10:00:00,8,18,3,27,60,0.25892857142857145
2022-08-18 11:00:00,8,18,3,28,60,0.25446428571428575
2022-08-18 12:00:00,8,18,3,29,60,0.2455357142857143
2022-08-18 13:00:00,8,18,3,31,60,0.26339285714285715
2022-08-18 14:00:00,8,18,3,30,60,0.26785714285714285
2022-08-18 15:00:00,8,18,3,31,60,0.3348214285714286
2022-08-18 16:00:00,8,18,3,31,60,0.26785714285714285
2022-08-18 17:00:00,8,18,3,30,10,0.013392857142857144
2022-08-19 08:00:00,8,19,4,30,50,0.16517857142857145
2022-08-19 10:00:00,8,19,4,33,55,0.17857142857142858
2022-08-19 12:00:00,8,19,4,34,55,0.19642857142857145
2022-08-19 14:00:00,8,19,4,35,55,0.21875000000000003
2022-08-19 16:00:00,8,19,4,31,55,0.2142857142857143
2022-08-22 08:00:00,8,22,0,27,55,0.20089285714285715
2022-08-22 10:00:00,8,22,0,27,55,0.20089285714285715
2022-08-22 12:00:00,8,22,0,30,55,0.20089285714285715
2022-08-22 14:00:00,8,22,0,31,55,0.2142857142857143
2022-08-22 16:00:00,8,22,0,30,55,0.23214285714285718
2022-08-23 08:00:00,8,23,1,30,56,0.22767857142857142
2022-08-23 09:00:00,8,23,1,33,60,0.37053571428571436
2022-08-23 10:00:00,8,23,1,34,60,0.43750000000000006
2022-08-23 11:00:00,8,23,1,35,60,0.5892857142857143
