“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-19 13:00:00,7,19,1,31,46,0.191044776119403
2022-07-19 14:00:00,7,19,1,31,38,0.15522388059701492
2022-07-19 15:00:00,7,19,1,28,39,0.1582089552238806
2022-07-19 16:00:00,7,19,1,27,39,0.15223880597014924
2022-07-19 17:00:00,7,19,1,27,26,0.16119402985074627
2022-07-20 06:00:00,7,20,2,30,9,0.04776119402985075
2022-07-20 07:00:00,7,20,2,32,60,0.42686567164179107
2022-07-20 08:00:00,7,20,2,32,40,0.12835820895522387
2022-07-20 09:00:00,7,20,2,33,41,0.18208955223880596
2022-07-20 10:00:00,7,20,2,33,35,0.14925373134328357
2022-07-20 11:00:00,7,20,2,35,50,0.1970149253731343
2022-07-20 12:00:00,7,20,2,34,46,0.18208955223880596
2022-07-20 13:00:00,7,20,2,36,45,0.191044776119403
2022-07-20 14:00:00,7,20,2,35,60,0.2746268656716418
2022-07-20 15:00:00,7,20,2,35,46,0.20597014925373136
2022-07-20 16:00:00,7,20,2,37,45,0.21791044776119403
2022-07-20 17:00:00,7,20,2,34,42,0.1791044776119403
2022-07-20 18:00:00,7,20,2,32,51,0.22985074626865673
2022-07-20 19:00:00,7,20,2,32,60,0.2
2022-07-20 20:00:00,7,20,2,31,10,0.03582089552238806
2022-07-20 21:00:00,7,20,2,32,60,0.4417910447761194
2022-07-20 22:00:00,7,20,2,31,1,0.005970149253731343
2022-07-21 06:00:00,7,21,3,30,14,0.13134328358208958
2022-07-21 07:00:00,7,21,3,29,59,0.417910447761194
2022-07-21 08:00:00,7,21,3,31,41,0.14626865671641792
2022-07-21 09:00:00,7,21,3,32,42,0.17313432835820894
2022-07-21 10:00:00,7,21,3,32,48,0.1880597014925373
2022-07-21 11:00:00,7,21,3,34,42,0.1671641791044776
2022-07-21 12:00:00,7,21,3,33,43,0.22985074626865673
2022-07-21 13:00:00,7,21,3,35,52,0.22388059701492538
2022-07-21 14:00:00,7,21,3,35,50,0.21492537313432836
2022-07-21 15:00:00,7,21,3,32,41,0.23283582089552238
2022-07-21 16:00:00,7,21,3,32,44,0.17313432835820894
2022-07-21 17:00:00,7,21,3,29,43,0.1582089552238806
2022-07-21 19:00:00,7,21,3,30,53,0.26268656716417915
2022-07-21 20:00:00,7,21,3,27,53,0.23880597014925373
2022-07-21 21:00:00,7,21,3,28,60,0.15223880597014924
2022-07-22 08:00:00,7,22,4,33,59,0.3611940298507463
2022-07-22 09:00:00,7,22,4,28,43,0.1671641791044776
2022-07-22 10:00:00,7,22,4,30,44,0.208955223880597
2022-07-22 11:00:00,7,22,4,33,30,0.15522388059701492
2022-07-22 12:00:00,7,22,4,33,37,0.2
2022-07-22 13:00:00,7,22,4,35,39,0.20597014925373136
2022-07-22 14:00:00,7,22,4,34,43,0.2208955223880597
2022-07-22 15:00:00,7,22,4,36,60,0.4059701492537313
2022-07-22 16:00:00,7,22,4,35,52,0.21492537313432836
2022-07-22 17:00:00,7,22,4,33,51,0.25671641791044775
2022-07-22 18:00:00,7,22,4,30,56,0.2597014925373134
2022-07-22 19:00:00,7,22,4,29,60,0.1880597014925373
2022-07-22 21:00:00,7,22,4,29,2,0.014925373134328358
2022-07-23 09:00:00,7,23,5,32,35,0.17611940298507464
2022-07-23 10:00:00,7,23,5,35,60,0.3343283582089552
2022-07-23 11:00:00,7,23,5,36,60,0.29253731343283584
2022-07-23 12:00:00,7,23,5,35,60,0.23582089552238808
2022-07-23 13:00:00,7,23,5,37,60,0.2208955223880597
2022-07-23 14:00:00,7,23,5,37,60,0.2776119402985075
2022-07-23 15:00:00,7,23,5,35,60,0.31343283582089554
2022-07-23 16:00:00,7,23,5,35,60,0.2746268656716418
