“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-09-15 15:00:00,9,15,3,26,60,0.2142857142857143
2022-09-15 16:00:00,9,15,3,26,60,0.23660714285714288
2022-09-16 08:00:00,9,16,4,27,59,0.17857142857142858
2022-09-20 09:00:00,9,20,1,29,60,0.22767857142857142
2022-09-20 10:00:00,9,20,1,23,60,0.3125
2022-09-20 11:00:00,9,20,1,23,60,0.25892857142857145
2022-09-20 12:00:00,9,20,1,23,60,0.25446428571428575
2022-09-20 13:00:00,9,20,1,21,60,0.2455357142857143
2022-09-20 14:00:00,9,20,1,21,40,0.13839285714285715
2022-09-20 15:00:00,9,20,1,22,49,0.17410714285714288
2022-09-20 16:00:00,9,20,1,22,49,0.22321428571428573
2022-09-21 08:00:00,9,21,2,19,24,0.044642857142857144
2022-09-22 09:00:00,9,22,3,24,24,0.04017857142857143
2022-09-22 10:00:00,9,22,3,25,38,0.08482142857142858
2022-09-22 11:00:00,9,22,3,24,36,0.09375000000000001
2022-09-22 12:00:00,9,22,3,25,45,0.1205357142857143
2022-09-22 13:00:00,9,22,3,25,19,0.053571428571428575
2022-09-22 14:00:00,9,22,3,24,28,0.0625
2022-09-22 15:00:00,9,22,3,24,13,0.03125
2022-09-22 16:00:00,9,22,3,23,23,0.04910714285714286
2022-09-27 09:00:00,9,27,1,26,15,0.044642857142857144
2022-09-27 10:00:00,9,27,1,28,60,0.17857142857142858
2022-09-27 11:00:00,9,27,1,29,60,0.20535714285714285
2022-09-27 12:00:00,9,27,1,30,60,0.25892857142857145
2022-09-27 13:00:00,9,27,1,28,20,0.044642857142857144
2022-09-27 14:00:00,9,27,1,27,21,0.053571428571428575
2022-09-27 15:00:00,9,27,1,27,60,0.2098214285714286
2022-09-27 16:00:00,9,27,1,26,45,0.16071428571428573
2022-09-29 09:00:00,9,29,3,24,12,0.026785714285714288
2022-09-29 10:00:00,9,29,3,26,48,0.125
2022-09-29 11:00:00,9,29,3,25,17,0.04910714285714286
2022-09-29 12:00:00,9,29,3,28,58,0.17410714285714288
2022-09-29 13:00:00,9,29,3,26,43,0.13839285714285715
2022-09-29 14:00:00,9,29,3,25,41,0.11607142857142859
2022-09-29 15:00:00,9,29,3,25,24,0.07142857142857144
2022-09-29 16:00:00,9,29,3,24,28,0.11607142857142859
2022-09-30 08:00:00,9,30,4,25,14,0.026785714285714288
