,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
2514,9.53,1.98,8.97,26.15
2516,56.29,64.02,37.17,36.67
2518,inf,inf,inf,inf
2521,100.81,93.31,3.91,1.86
2522,inf,inf,inf,inf
2525,inf,inf,inf,inf
2526,inf,inf,inf,inf
2528,inf,inf,inf,inf
2531,42.75,44.11,35.93,31.51
2535,17.38,32.14,34.5,40.13
2536,19.42,40.0,36.7,24.79
2541,inf,inf,inf,inf
2550,inf,inf,inf,inf
2572,inf,inf,inf,inf
2574,inf,inf,inf,inf
2576,inf,inf,inf,inf
2577,inf,inf,inf,inf
2579,25.25,22.71,1.08,29.96
2581,32.4,36.4,21.32,24.99
2582,inf,inf,inf,inf
2584,inf,inf,inf,inf
2592,inf,inf,inf,inf
2595,inf,inf,inf,inf
2606,inf,inf,inf,inf
2613,86.79,77.21,2.38,9.8
2621,93.29,90.74,8.3,1.6
2623,inf,inf,inf,inf
2627,102.89,118.12,61.18,100.37
2634,inf,inf,inf,inf
2638,inf,inf,inf,inf
2643,inf,inf,inf,inf
2646,inf,inf,inf,inf
2651,52.0,31.95,47.09,34.49
2653,14.58,3.89,22.67,9.16
2659,72.63,84.68,114.43,134.78
2668,inf,inf,inf,inf
2670,inf,inf,inf,inf
2673,40.99,12.55,7.59,21.36
2676,12.18,4.4,31.61,0.23
2683,111.0,123.45,119.63,92.13
2690,inf,inf,inf,inf
2691,inf,inf,inf,inf
2693,inf,inf,inf,inf
2695,inf,inf,inf,inf
2702,26.74,29.78,28.38,34.15
2708,15.62,7.44,45.28,47.97
2710,inf,inf,inf,inf
2711,inf,inf,inf,inf
2718,inf,inf,inf,inf
2721,46.82,50.27,21.3,28.78
2723,4.49,35.33,19.23,26.05
2728,23.01,37.82,19.38,27.02
2730,32.37,6.4,74.08,45.53
2736,inf,inf,inf,inf
2741,inf,inf,inf,inf
2742,inf,inf,inf,inf
2744,inf,inf,inf,inf
2747,4.09,2.78,25.15,11.25
2753,inf,inf,inf,inf
2756,inf,inf,inf,inf
2758,inf,inf,inf,inf
2762,inf,inf,inf,inf
2763,inf,inf,inf,inf
2766,inf,inf,inf,inf
2770,15.44,19.46,15.03,11.02
2772,24.82,29.62,25.72,30.24
2776,6.54,19.75,14.93,17.54
