,éûçèï 
1824,inf
1825,inf
1826,inf
1827,inf
1828,inf
1829,inf
1832,inf
1833,inf
1835,86.64
1836,inf
1837,inf
1838,inf
1839,inf
1840,inf
1842,inf
1843,inf
1844,inf
1846,inf
1847,inf
1848,inf
1849,inf
1852,inf
1854,inf
1855,inf
1856,inf
1857,inf
1858,inf
1859,51.73
1860,inf
1861,inf
1862,inf
1863,inf
1866,inf
1867,inf
1869,inf
1870,inf
1871,inf
1872,inf
1873,inf
1874,inf
1876,inf
1877,inf
1878,inf
1879,inf
1880,inf
1883,inf
1884,82.18
1885,inf
1886,inf
1887,inf
1888,inf
1889,inf
1892,inf
1893,inf
1894,inf
1897,inf
1898,inf
1900,94.16
1901,inf
1902,inf
1903,inf
1904,inf
1906,inf
1908,inf
1909,inf
1910,inf
1911,inf
1912,inf
1913,inf
1915,inf
1916,inf
1917,inf
1918,inf
1922,inf
1924,inf
1925,inf
1926,92.17
1928,inf
1930,inf
1931,inf
1932,inf
1933,inf
1936,inf
1938,inf
1939,inf
1940,inf
1941,inf
1943,inf
1944,inf
1945,inf
1946,inf
1947,inf
1948,inf
1949,inf
1950,inf
1951,inf
1952,90.47
1953,inf
1954,inf
1955,inf
1957,15.99
1958,35.2
1962,inf
1963,inf
1968,inf
1969,inf
1971,inf
1973,inf
1975,inf
1976,inf
1977,inf
1979,41.3
1980,27.41
1981,42.53
1983,66.83
1984,80.06
1985,inf
1986,inf
1988,inf
1989,inf
1990,inf
1992,inf
1993,inf
1994,inf
1996,inf
1997,inf
1998,inf
1999,inf
2000,inf
2001,inf
2002,inf
2003,inf
2004,inf
2005,inf
2006,inf
2007,inf
2008,90.59
2009,inf
2010,inf
2012,inf
2014,inf
2015,inf
2019,inf
2020,inf
2021,inf
2023,inf
2024,inf
2025,inf
2026,inf
2028,inf
2029,inf
2031,inf
2033,71.67
2034,inf
2035,inf
2037,inf
2039,inf
2041,inf
2043,inf
2045,inf
2046,inf
2047,inf
2048,inf
2050,inf
2051,inf
2052,inf
2054,39.82
2056,inf
2057,inf
2058,inf
2059,inf
2060,inf
2061,inf
2062,inf
2064,inf
2065,inf
2066,inf
2067,inf
2068,inf
2069,inf
2070,inf
2071,86.43
2072,inf
2073,inf
2074,inf
2075,inf
2076,inf
2077,inf
2078,inf
2080,inf
2081,inf
2082,inf
2085,inf
2087,inf
2088,inf
2089,inf
2090,inf
2091,inf
2094,inf
2095,inf
2096,inf
2097,inf
2098,85.27
2099,inf
2100,inf
2102,inf
2103,inf
2105,inf
2106,inf
2107,inf
2108,inf
2109,inf
2110,inf
2111,inf
2112,inf
2114,inf
2115,inf
2116,inf
2117,inf
2119,inf
2120,inf
2121,57.54
2122,41.24
2124,10.49
2125,12.82
2127,15.61
2128,inf
2129,45.41
2131,inf
2132,inf
2136,inf
2137,inf
2139,inf
2140,inf
2141,inf
2142,inf
2143,inf
2144,inf
2146,inf
2148,inf
2149,inf
2150,4.75
2151,24.23
2152,32.77
2154,78.59
2155,inf
2156,inf
2157,inf
2159,inf
2160,inf
2161,inf
2163,inf
2164,inf
2165,inf
2167,inf
2169,inf
2172,inf
2173,inf
2174,inf
2175,inf
2176,inf
2178,inf
2180,inf
2181,inf
2182,inf
2184,inf
2185,inf
2187,inf
2190,inf
2193,inf
2195,inf
2196,inf
2197,inf
2198,inf
2199,inf
2200,inf
2201,78.36
2203,inf
2205,inf
2207,inf
2208,inf
2212,inf
2213,inf
2214,inf
2216,inf
2217,inf
2218,inf
2219,inf
2220,inf
2221,inf
2222,inf
2223,inf
2224,inf
2225,79.9
2227,inf
2228,inf
2229,inf
2231,inf
2232,inf
2233,inf
2239,inf
2240,inf
2243,inf
2245,inf
2246,inf
2247,inf
2251,95.16
2253,inf
2256,inf
2257,inf
2258,inf
2259,inf
2261,inf
2268,inf
2269,inf
2270,inf
2271,inf
2272,inf
2273,inf
2274,inf
2276,inf
2277,96.23
2278,inf
2279,inf
2281,inf
2283,inf
2285,inf
2286,inf
2288,inf
2289,inf
2291,inf
2292,inf
2293,inf
2294,inf
2295,inf
2296,inf
2297,inf
2298,inf
2300,inf
2303,inf
2305,inf
2306,inf
2308,inf
2310,inf
2313,inf
2315,3.96
2316,10.95
2317,15.63
2318,19.76
2319,34.0
2320,2.26
2321,4.99
2322,inf
2323,inf
2324,inf
2329,inf
2330,inf
2332,inf
2333,inf
2334,inf
2335,inf
2338,inf
2339,0.76
2340,2.58
2341,21.39
2343,32.77
2345,26.0
2349,inf
2350,inf
2351,inf
2352,inf
2353,inf
2354,inf
2355,inf
2356,inf
2357,inf
2358,92.92
2361,inf
2365,inf
2372,inf
2373,inf
2374,inf
2375,inf
2377,inf
2378,inf
2379,inf
2380,inf
2381,inf
2382,94.23
2384,inf
2385,inf
2389,inf
2391,inf
2392,inf
2394,inf
2396,inf
2397,inf
2398,inf
2399,inf
2400,inf
2402,inf
2403,inf
2404,inf
2406,inf
2407,89.0
2408,inf
2409,inf
2412,inf
2413,inf
2414,inf
2415,inf
2416,inf
2418,inf
2419,inf
2421,inf
2422,inf
2423,inf
2425,inf
2426,inf
2427,inf
2430,inf
2431,inf
2434,inf
2435,inf
2436,inf
2437,inf
2439,inf
2440,inf
2442,inf
2443,inf
2444,inf
2445,inf
2446,inf
2447,inf
2448,inf
2449,inf
2450,inf
2451,inf
2452,inf
2453,inf
2456,inf
2457,46.06
2458,inf
2459,30.67
2460,13.31
2461,31.99
2462,27.55
2463,30.2
2464,17.4
2465,20.66
2466,inf
2467,inf
2469,inf
2471,inf
2472,inf
2474,inf
2475,inf
2476,inf
2477,95.23
2478,inf
2479,inf
2480,inf
2482,40.37
2483,4.67
2485,14.38
2486,4.41
2487,2.45
2488,42.13
2489,13.08
2490,inf
2492,inf
2493,inf
2494,inf
2495,inf
2496,inf
2500,inf
2502,inf
2504,inf
2505,inf
2506,inf
2507,8.17
2508,14.44
2510,36.63
2511,12.75
2512,11.37
2513,12.78
2515,inf
2517,inf
2519,inf
2520,95.66
2522,inf
2523,inf
2525,inf
2526,inf
2527,inf
2528,inf
2529,10.04
2530,1.5
2532,11.19
2533,21.72
2534,11.04
2535,30.87
2536,38.07
2537,37.85
2538,inf
2539,inf
2540,inf
2541,96.29
2542,inf
2544,inf
2545,inf
2546,inf
2547,inf
2548,inf
2549,inf
2550,inf
2552,38.27
2553,16.49
2554,8.71
2556,19.88
2558,28.47
2559,42.76
2561,33.93
2563,inf
2565,inf
2566,inf
2567,inf
2569,inf
2570,95.44
2571,inf
2573,inf
2574,inf
2575,inf
2577,inf
2579,inf
2580,inf
2581,inf
2583,inf
2585,inf
2586,inf
2587,inf
2588,inf
2589,inf
2590,inf
2591,inf
2593,inf
2595,inf
2596,inf
2597,94.38
2598,inf
2599,inf
2600,inf
2601,inf
2606,inf
2607,inf
2608,inf
2609,inf
2610,inf
2612,inf
2613,inf
2614,inf
2615,inf
2617,inf
2619,inf
2620,inf
2621,inf
2624,38.81
2625,30.6
2626,26.97
2627,30.01
2629,26.87
2630,45.06
2631,22.81
2632,38.79
2633,21.5
2635,inf
2636,inf
2639,inf
2640,inf
2641,inf
2642,inf
2644,inf
2646,inf
2647,inf
2648,15.2
2649,9.83
2650,40.07
2651,14.23
2652,21.51
2654,41.51
2656,48.06
2657,29.57
2660,inf
2661,inf
2662,inf
2664,inf
2665,inf
2667,inf
2668,inf
2669,inf
2670,inf
2672,38.2
2673,15.64
2675,18.9
2676,33.13
2677,35.35
2678,24.22
2680,25.01
2681,49.21
2682,inf
2683,inf
2684,inf
2685,inf
2687,inf
2689,inf
2690,inf
2691,inf
2693,inf
2694,inf
2695,inf
2696,79.56
2697,inf
2700,inf
2701,inf
2704,inf
2705,inf
2707,inf
2708,inf
2709,inf
2710,inf
2713,inf
2714,inf
2715,inf
2718,inf
2721,inf
2723,95.34
2724,inf
2726,inf
2727,inf
2728,inf
2729,inf
2730,inf
2732,inf
2734,inf
2736,inf
2737,inf
2739,inf
2740,inf
2741,inf
2742,inf
2744,inf
2746,inf
2747,inf
2750,83.54
2751,inf
2752,inf
2753,inf
2754,inf
2755,inf
2757,inf
2759,inf
2760,inf
2761,inf
2762,inf
2763,inf
2764,inf
2766,inf
2767,inf
2770,inf
2773,inf
2774,inf
2775,inf
2776,inf
2777,93.55
2779,inf
2781,inf
2782,inf
2783,inf
2787,inf
2788,inf
2789,inf
2790,inf
2791,inf
2792,1.54
2794,27.96
2796,25.55
2797,28.09
2799,42.76
2800,30.71
2805,inf
2807,inf
2808,inf
2809,inf
2810,inf
2811,inf
2812,96.22
2813,inf
2814,inf
2815,inf
2816,inf
2818,inf
2819,61.01
2820,6.94
2821,38.24
2822,12.45
2823,33.93
2824,27.35
2825,33.31
2826,inf
2827,inf
2828,inf
2829,inf
2832,inf
2834,inf
2838,inf
2841,30.77
2842,15.54
2846,37.51
2847,29.49
2849,22.01
2850,inf
2851,inf
2852,inf
2853,inf
2854,inf
2855,inf
2856,inf
2858,inf
2860,inf
2862,inf
2865,33.81
2866,26.74
2867,23.51
2868,33.55
2869,24.73
2871,28.0
2872,24.25
2873,20.51
2876,inf
2880,inf
2881,inf
2882,inf
2883,inf
2884,inf
2885,inf
2886,inf
2887,inf
2888,25.93
2889,12.03
2890,3.95
2891,39.82
2893,15.69
2895,7.95
2896,43.02
2897,9.8
2898,inf
2899,inf
2900,inf
2901,inf
2902,inf
2903,inf
2905,inf
2906,inf
2908,inf
2909,inf
2910,90.92
2911,inf
2912,inf
2913,inf
2915,inf
2916,inf
2917,inf
2918,inf
2919,inf
2921,inf
2923,inf
2924,inf
2925,inf
2930,inf
2931,inf
2932,inf
2936,88.02
2937,inf
2938,inf
2939,inf
2942,inf
2943,inf
2945,inf
2948,inf
2949,inf
2952,inf
2954,inf
2955,inf
2956,inf
2957,inf
2958,inf
2959,inf
2960,3.84
2962,36.13
2963,19.7
2964,18.41
2965,25.63
2966,15.32
2971,inf
2972,inf
2973,inf
2974,inf
2975,inf
2976,inf
2977,inf
2978,inf
2979,inf
2980,inf
2981,inf
2983,inf
2984,49.32
2985,6.42
2986,35.33
2987,14.08
2989,27.61
2990,32.88
2992,22.86
2993,47.47
2994,inf
2995,inf
2997,inf
3000,94.93
3001,inf
3002,inf
3003,inf
3005,inf
3006,inf
3007,inf
3008,2.45
3009,10.28
3010,22.99
3015,21.98
3020,inf
3021,inf
3022,inf
3023,inf
3024,inf
3025,inf
3026,inf
3029,inf
3030,inf
3034,25.14
3035,40.17
3038,51.01
3039,22.26
3040,24.22
3041,23.66
3043,inf
3044,inf
3045,inf
3046,inf
3048,inf
3050,inf
3051,inf
3052,inf
3053,inf
3054,inf
3056,1.6
3057,25.42
3058,6.11
3060,26.49
3061,35.19
3062,27.31
3063,34.9
3065,25.2
3068,inf
3069,inf
3070,inf
3071,inf
3072,inf
3073,inf
3074,inf
3075,inf
3077,inf
3080,inf
3081,inf
3082,inf
3083,inf
3084,inf
3085,inf
3087,inf
3088,inf
3089,inf
3090,inf
3091,101.57
3092,inf
3093,inf
3096,inf
3098,inf
3099,inf
3100,inf
3101,inf
3102,inf
3105,inf
3106,inf
3108,inf
3109,inf
3110,inf
3111,inf
3114,inf
3116,inf
3117,93.28
3118,inf
3119,inf
3121,inf
3123,inf
3125,inf
3128,inf
3129,inf
3130,inf
3131,inf
3133,inf
3134,inf
3135,inf
3136,inf
3138,inf
3140,inf
3141,inf
3144,inf
3145,inf
3146,inf
3148,inf
3149,inf
3150,inf
3151,inf
3152,8.21
3153,31.63
3155,32.88
3156,32.66
3158,22.57
3159,39.57
3160,17.28
3161,18.65
3163,inf
3164,inf
3165,inf
3166,inf
3169,inf
3171,inf
3172,inf
3173,inf
3174,inf
3175,inf
3179,23.79
3180,40.62
3182,33.91
3184,43.66
3185,28.3
3186,inf
3187,inf
3188,inf
3189,inf
3191,inf
3192,inf
3194,inf
3195,inf
3197,inf
3198,inf
3199,inf
3202,40.19
3203,4.49
3204,9.57
3205,21.1
3206,23.37
3208,45.78
3209,28.6
3210,inf
3211,inf
3212,inf
3214,inf
3215,inf
3217,inf
3220,inf
3221,inf
3222,93.94
3223,inf
3224,inf
3225,inf
3227,inf
3228,inf
3229,inf
3230,inf
3231,inf
3232,inf
3236,inf
3237,inf
3238,inf
3239,inf
3240,inf
3241,inf
3245,inf
3246,inf
3247,93.54
3248,inf
3249,inf
3250,inf
3251,inf
3252,inf
3253,inf
3255,inf
3256,inf
3257,inf
3259,inf
3260,inf
3262,inf
3263,inf
3264,inf
3266,inf
3267,inf
3268,inf
3269,inf
3273,inf
3275,inf
3276,inf
3277,inf
3278,inf
3279,inf
3280,inf
3281,inf
3282,inf
3283,inf
3285,inf
3286,inf
3287,inf
3288,inf
3289,inf
3290,inf
3294,inf
3297,88.27
3300,inf
3301,inf
3302,inf
3303,inf
3304,inf
3305,inf
3307,inf
3308,inf
3309,inf
3310,inf
3311,inf
3312,inf
3313,inf
3315,inf
3317,inf
3318,inf
3319,inf
3320,inf
3321,inf
3322,79.1
3323,inf
3324,inf
3325,inf
3326,inf
3327,inf
3328,inf
3332,inf
3333,inf
3336,inf
3337,inf
3338,inf
3339,inf
3341,inf
3343,inf
3345,6.46
3347,5.25
3348,8.79
3349,36.98
3350,7.51
3351,19.82
3352,23.19
3353,19.12
3355,inf
3356,inf
3359,inf
3360,inf
3361,inf
3362,inf
3363,inf
3364,inf
3365,inf
3366,inf
3367,inf
3368,5.51
3371,26.11
3373,35.88
3374,40.67
3375,22.86
3376,38.09
3377,28.26
3379,inf
3381,inf
