“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-08-06 12:00:00,8,1,0,29,60,0.17555555555555558
2022-08-06 13:00:00,8,1,0,30,60,0.1911111111111111
2022-08-06 14:00:00,8,1,0,31,60,0.17333333333333334
2022-08-06 15:00:00,8,1,0,30,60,0.1711111111111111
2022-08-06 16:00:00,8,1,0,28,47,0.17555555555555558
2022-08-07 08:00:00,8,1,0,28,59,0.19777777777777777
2022-08-07 09:00:00,8,1,0,28,60,0.1911111111111111
2022-08-07 10:00:00,8,1,0,29,60,0.2111111111111111
2022-08-07 11:00:00,8,1,0,31,60,0.2066666666666667
2022-08-07 12:00:00,8,1,0,32,60,0.21555555555555553
2022-08-07 13:00:00,8,1,0,34,60,0.2111111111111111
2022-08-07 14:00:00,8,1,0,32,60,0.19333333333333333
2022-08-07 15:00:00,8,1,0,32,60,0.2
2022-08-07 16:00:00,8,1,0,31,60,0.20444444444444443
2022-08-07 17:00:00,8,1,0,31,1,0.0044444444444444444
2022-08-08 06:00:00,8,0,1,27,30,0.035555555555555556
2022-08-08 07:00:00,8,0,1,30,17,0.02
2022-08-08 08:00:00,8,0,1,31,60,0.40888888888888886
2022-08-08 09:00:00,8,0,1,33,60,0.4755555555555555
2022-08-08 10:00:00,8,0,1,34,60,0.1111111111111111
2022-08-08 11:00:00,8,0,1,35,60,0.5511111111111111
2022-08-08 12:00:00,8,0,1,36,60,0.12000000000000001
2022-08-08 13:00:00,8,0,1,35,60,0.5022222222222222
2022-08-08 14:00:00,8,0,1,35,60,0.11555555555555556
2022-08-08 15:00:00,8,0,1,35,60,0.4577777777777778
2022-08-08 16:00:00,8,0,1,34,60,0.1088888888888889
2022-08-08 17:00:00,8,0,1,32,1,0.0022222222222222222
2022-08-09 06:00:00,8,0,1,29,29,0.042222222222222223
2022-08-09 07:00:00,8,0,1,31,55,0.12000000000000001
2022-08-09 08:00:00,8,0,1,33,60,0.43777777777777777
2022-08-09 09:00:00,8,0,1,34,60,0.4666666666666667
2022-08-09 10:00:00,8,0,1,36,60,0.6444444444444445
2022-08-09 11:00:00,8,0,1,36,60,0.6422222222222221
2022-08-09 12:00:00,8,0,1,37,60,0.6466666666666667
2022-08-09 13:00:00,8,0,1,37,60,0.6422222222222221
2022-08-09 14:00:00,8,0,1,37,60,0.6466666666666667
2022-08-09 15:00:00,8,0,1,36,60,0.5933333333333333
2022-08-09 16:00:00,8,0,1,35,60,0.5866666666666667
2022-08-09 17:00:00,8,0,1,34,1,0.0
2022-08-10 06:00:00,8,0,1,29,32,0.04
