,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-09-28,11.0,1.0,2.0,1.0,1.0,1.0,2018-09-28
2018-09-29,5.0,1.0,2.0,1.0,1.0,1.0,2018-09-29
2018-09-30,5.0,1.0,1.0,0.0,1.0,1.0,2018-09-30
2018-10-01,18.0,2.0,8.0,11.0,11.0,3.0,2018-10-01
2018-10-02,12.0,1.0,3.0,4.0,1.0,2.0,2018-10-02
2018-10-03,11.0,1.0,2.0,1.0,1.0,1.0,2018-10-03
2018-10-04,10.0,1.0,3.0,1.0,1.0,1.0,2018-10-04
2018-10-05,11.0,1.0,2.0,1.0,1.0,1.0,2018-10-05
2018-10-06,7.0,1.0,1.0,1.0,1.0,1.0,2018-10-06
2018-10-07,8.0,1.0,2.0,1.0,1.0,1.0,2018-10-07
2018-10-08,6.0,2.0,1.0,1.0,1.0,1.0,2018-10-08
2018-10-09,14.0,1.0,3.0,1.0,1.0,2.0,2018-10-09
2018-10-10,14.0,1.0,2.0,2.0,1.0,2.0,2018-10-10
2018-10-11,12.0,1.0,3.0,1.0,1.0,1.0,2018-10-11
2018-10-12,11.0,1.0,2.0,1.0,1.0,1.0,2018-10-12
2018-10-13,7.0,1.0,2.0,1.0,0.0,1.0,2018-10-13
2018-10-14,4.0,1.0,1.0,1.0,1.0,1.0,2018-10-14
2018-10-15,9.0,2.0,2.0,1.0,1.0,1.0,2018-10-15
2018-10-16,6.0,1.0,1.0,1.0,1.0,1.0,2018-10-16
2018-10-17,7.0,1.0,2.0,1.0,1.0,1.0,2018-10-17
2018-10-18,7.0,1.0,1.0,1.0,1.0,1.0,2018-10-18
2018-10-19,7.0,1.0,1.0,1.0,1.0,1.0,2018-10-19
2018-10-20,3.0,1.0,2.0,1.0,1.0,1.0,2018-10-20
2018-10-21,3.0,1.0,1.0,1.0,1.0,1.0,2018-10-21
2018-10-22,5.0,2.0,2.0,1.0,1.0,1.0,2018-10-22
2018-10-23,5.0,1.0,1.0,1.0,1.0,2.0,2018-10-23
2018-10-24,6.0,1.0,2.0,1.0,1.0,1.0,2018-10-24
2018-10-25,6.0,1.0,1.0,1.0,1.0,1.0,2018-10-25
2018-10-26,6.0,1.0,2.0,1.0,1.0,1.0,2018-10-26
2018-10-27,3.0,2.0,1.0,1.0,1.0,1.0,2018-10-27
2018-10-28,3.0,1.0,1.0,1.0,1.0,1.0,2018-10-28
2018-10-29,7.0,1.0,2.0,1.0,1.0,1.0,2018-10-29
2018-10-30,6.0,1.0,1.0,1.0,1.0,1.0,2018-10-30
2018-10-31,5.0,1.0,2.0,1.0,1.0,1.0,2018-10-31
2018-11-01,4.0,1.0,1.0,1.0,1.0,1.0,2018-11-01
2018-11-02,4.0,1.0,2.0,1.0,1.0,1.0,2018-11-02
2018-11-03,3.0,2.0,1.0,1.0,1.0,1.0,2018-11-03
2018-11-04,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-04
