,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
867,1.1,1.0,1.03
869,1.08,1.0,0.99
870,1.07,1.0,0.97
871,1.11,1.0,1.0
872,1.06,1.0,1.05
873,1.06,1.0,0.99
875,1.05,1.0,0.99
877,1.05,1.0,0.99
878,1.04,1.0,1.01
879,1.05,1.0,1.02
880,1.17,1.0,0.93
882,1.14,1.0,1.03
883,1.12,1.0,1.03
884,1.33,2.0,2.56
885,1.11,1.0,1.1
886,1.14,1.0,0.99
888,1.09,1.0,1.02
889,1.27,1.0,0.91
891,1.28,1.0,1.07
893,1.25,2.0,2.23
894,1.07,1.0,0.99
896,1.14,1.0,1.0
897,1.16,1.0,1.02
899,1.01,1.0,1.0
903,1.08,1.0,0.98
904,1.05,1.0,0.99
905,1.15,1.0,1.01
906,1.06,1.0,0.99
909,1.11,1.0,1.0
910,1.24,2.0,1.9
912,1.07,1.0,0.99
913,1.18,1.0,0.95
915,1.07,1.0,1.05
916,1.12,1.0,1.0
918,1.26,2.0,2.02
919,1.05,1.0,1.0
921,1.2,1.0,1.0
922,1.05,1.0,1.0
923,1.07,1.0,1.0
924,1.48,2.0,2.09
926,1.07,1.0,1.0
927,1.05,1.0,1.0
928,1.05,1.0,1.0
929,1.13,1.0,1.0
930,1.05,1.0,1.0
932,1.12,1.0,1.0
934,1.35,1.0,1.0
935,1.15,1.0,1.0
937,1.47,2.0,2.0
938,1.12,1.0,1.0
939,1.1,1.0,1.0
941,1.2,1.0,1.0
942,1.19,1.0,1.0
943,1.25,2.0,1.99
948,1.13,1.0,1.0
949,1.45,2.0,1.98
950,1.17,1.0,1.0
953,1.24,1.0,1.0
955,1.13,1.0,1.0
960,1.07,1.0,1.0
962,1.06,1.0,1.0
963,1.04,1.0,1.0
964,1.22,1.0,1.0
965,1.62,2.0,2.0
968,1.06,1.0,1.0
970,1.39,2.0,1.99
971,1.44,1.0,1.0
974,1.32,2.0,2.01
975,1.32,1.0,0.99
976,1.3,1.0,1.0
977,1.28,1.0,1.0
979,1.46,2.0,2.0
980,1.29,1.0,0.99
