,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-09-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,0.0,0.0,0.0,1.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,7.0,4.0,6.0,2.0,3.0,5.0,6.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,5.0,3.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-09-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
2021-09-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,8.0,4.0,7.0,4.0,6.0,7.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0
2021-09-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,5.0,7.0,4.0,6.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,6.0,10.0,12.0,9.0,7.0,8.0,6.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0
2021-09-11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
