,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1023,52.38,68.0,66.27
1024,34.0,32.0,35.15
1025,42.46,32.0,32.77
1026,43.93,41.0,42.86
1028,28.78,29.0,31.59
1029,56.28,61.0,65.74
1030,61.71,55.0,60.49
1031,39.2,36.0,47.14
1035,35.69,34.0,35.69
1036,25.66,13.0,12.63
1037,36.1,50.0,50.64
1038,23.88,30.0,32.05
1039,12.86,3.0,2.57
1040,27.37,18.0,21.22
1041,32.94,43.0,47.32
1042,32.15,39.0,42.61
1044,41.15,30.0,30.38
1048,25.76,25.0,26.92
1049,14.13,2.0,2.62
1051,27.21,26.0,27.25
1052,25.68,24.0,24.84
1054,35.4,31.0,35.52
1055,27.87,32.0,32.98
1056,25.07,29.0,26.59
1057,17.94,11.0,11.94
1058,21.41,13.0,14.25
1059,33.4,41.0,38.54
1061,26.41,35.0,32.81
1062,32.38,33.0,33.03
1063,33.04,34.0,31.03
1065,24.34,30.0,32.1
1067,16.84,3.0,3.4
1068,6.04,2.0,1.6
1070,19.49,19.0,19.4
1071,13.87,2.0,1.95
1072,31.21,35.0,36.17
1073,26.85,33.0,33.32
1074,8.04,8.0,7.7
1075,4.6,2.0,2.13
1076,15.63,5.0,5.63
1078,30.81,37.0,40.42
1079,23.12,2.0,2.42
1082,25.12,28.0,28.97
1083,17.56,30.0,28.13
1084,17.18,24.0,23.89
1085,17.88,22.0,23.65
1086,7.57,2.0,2.35
1087,20.01,10.0,11.91
1088,15.13,2.0,1.84
1089,25.69,32.0,36.77
1090,19.79,21.0,20.73
1092,13.82,13.0,13.84
1093,34.81,44.0,56.82
1094,25.76,40.0,38.46
1095,16.49,28.0,29.76
