リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,25.5,0,0,25,26.4,0,0,25,23.5,60,60
27,24,60,2,27,23.9,60,3,27,24.3,60,1
27,27.4,0,0,27,27.2,0,0,27,26.9,0,0
27,24.5,60,0,27,23.6,60,0,27,25.5,60,0
27,27.4,0,0,27,27.2,0,0,27,26.9,0,0
27,25.1,60,0,27,24.1,60,0,27,25.8,60,0
27,27.3,0,0,27,26.3,0,0,27,27.4,0,0
27,24.7,60,0,27,23.9,60,0,27,25.7,60,0
27,27.2,0,0,27,26.4,0,0,27,27.2,0,0
27,25.3,0,0,27,25.5,0,0,27,26,0,0
27,25.2,0,0,27,25.2,0,0,27,26,0,0
27,25.2,0,0,27,25.7,0,0,27,26,0,0
27,25.2,0,0,27,25.8,0,0,27,26.2,0,0
27,25.3,0,0,27,25.8,0,0,27,26.2,0,0
27,25.4,0,0,27,25.8,0,0,27,26.2,0,0
27,25.4,0,0,27,25.9,0,0,27,26.4,0,0
27,25.5,0,0,27,26.1,0,0,27,26.3,0,0
27,25.8,0,0,27,26.3,0,0,27,26.5,0,0
27,25.8,0,0,27,26.3,0,0,27,26.2,0,0
27,25.8,0,0,27,26.3,0,0,27,26.3,0,0
27,25.7,0,0,27,26.4,0,0,27,26.3,0,0
27,25.6,0,0,27,26.4,0,0,27,26.3,0,0
27,25.7,0,0,27,26.3,0,0,27,26.4,0,0
27,25.7,0,0,27,26.4,0,0,27,26.4,0,0
27,25.6,0,0,27,26.2,0,0,27,26.1,0,0
27,25.4,0,0,27,23.9,60,0,27,26.2,0,0
27,25.2,0,0,27,23.3,60,0,27,26.1,0,0
27,25,0,0,27,23.1,60,0,27,26.1,0,0
27,24.9,0,0,27,23,60,0,27,26,0,0
27,24.9,0,0,27,23,60,0,27,25.8,0,0
27,24.8,0,0,27,23,60,0,27,25.8,0,0
27,25,0,0,27,23,60,0,27,26.2,0,0
27,24.9,0,0,27,23.2,60,0,27,26.2,0,0
27,25.1,0,0,27,24.5,0,0,27,25.9,0,0
