,éûçèï 
2936,19.35
2937,inf
2939,inf
2941,inf
2944,inf
2945,inf
2946,inf
2947,inf
2948,43.66
2950,inf
2951,inf
2952,inf
2954,inf
2957,inf
2960,10.16
2961,2.52
2962,6.07
2964,4.47
2965,1.08
2966,3.91
2967,0.55
2969,3.87
2970,6.91
2971,55.99
2972,inf
2973,16.21
2975,34.7
2976,20.74
2979,34.29
2980,2.06
2981,inf
2982,7.01
2983,9.02
2986,3.39
2988,0.93
2989,4.66
2992,8.88
2993,26.74
2996,inf
2997,20.77
2998,inf
3001,26.62
3004,3.77
3006,inf
3007,1.22
3010,3.43
3011,8.87
3012,2.84
3013,2.96
3014,1.03
3015,4.18
3016,1.18
3018,2.2
3019,10.15
3020,inf
3021,29.22
3022,inf
3024,inf
3025,inf
3026,inf
3027,inf
3028,inf
3029,inf
3030,3.53
3032,13.71
3033,10.11
3036,8.17
3037,2.37
3039,10.58
3040,4.99
3041,0.78
3044,25.34
3045,42.47
3046,inf
3048,inf
3050,inf
3051,40.16
3052,41.29
3053,inf
3054,inf
3055,7.07
3056,0.36
3058,5.35
3059,11.16
3060,10.23
3061,1.51
3062,4.68
3063,3.76
3064,1.97
3067,2.29
3068,inf
3069,26.41
3070,inf
3071,0.9
3072,inf
3073,inf
3075,inf
3076,inf
3077,inf
3078,inf
3079,inf
3082,inf
3083,28.54
3084,inf
3085,inf
3086,4.19
3087,28.69
3089,12.13
3090,inf
3091,inf
3092,inf
3093,inf
3095,inf
3096,inf
3097,38.81
3098,inf
3099,inf
3100,inf
3102,inf
3103,inf
3104,inf
3107,inf
3108,inf
3109,inf
3111,inf
3112,inf
3113,17.29
3115,inf
3116,inf
3117,inf
3118,15.51
3119,inf
3120,inf
3121,inf
3122,inf
3123,inf
3124,inf
3125,inf
3126,inf
3127,inf
3129,30.31
3130,2.62
3131,inf
3132,8.55
3133,13.14
3134,57.54
3135,13.93
3136,0.42
3138,10.31
3139,23.79
3142,inf
3144,inf
3146,inf
3147,inf
3149,inf
3150,4.61
3151,1.82
3153,23.12
3154,4.25
3156,18.69
3158,1.67
3159,2.67
3160,17.63
3163,12.85
3164,inf
3165,inf
3166,16.8
3167,20.88
3168,29.84
3169,inf
3170,inf
3171,inf
3172,inf
3173,inf
3176,52.47
3177,14.82
3178,3.51
3179,33.58
3180,21.83
3181,32.75
3183,13.15
3184,4.97
3186,1.4
3187,25.67
3190,inf
3191,inf
3194,55.06
3195,inf
3197,inf
3198,inf
3200,10.83
3201,11.97
3202,29.22
3203,20.53
3204,9.78
3206,12.93
3207,27.12
3209,30.56
3210,inf
3212,inf
3213,inf
3214,inf
3215,inf
3216,58.34
3217,26.19
3219,inf
3220,inf
3221,inf
3222,inf
3223,52.8
3224,14.49
3225,0.04
3227,23.85
