,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
4192,55.48,19.39,31.27,29.51
4198,inf,inf,inf,inf
4204,inf,inf,inf,inf
4206,76.63,70.98,8.74,11.31
4208,45.41,40.82,38.81,39.71
4210,56.33,49.17,45.52,45.39
4212,17.77,9.42,5.93,7.49
4216,18.43,3.56,17.79,12.29
4217,45.2,52.11,57.83,42.49
4218,47.73,44.57,33.43,42.63
4223,69.94,69.25,50.09,4.08
4224,inf,inf,inf,inf
4225,inf,inf,inf,inf
4227,inf,inf,inf,inf
4228,inf,inf,inf,inf
4230,80.7,74.03,68.26,22.31
4232,1.62,2.5,2.39,1.83
4235,8.24,11.58,28.79,25.65
4238,109.21,122.29,74.87,73.4
4240,17.64,5.91,3.06,4.86
4243,18.28,14.33,11.3,18.14
4246,inf,inf,inf,inf
4253,inf,inf,inf,inf
4255,31.77,21.9,15.69,17.54
4256,10.53,18.05,12.34,6.06
4264,11.62,5.83,12.74,10.35
4266,23.53,20.23,25.09,32.95
4272,inf,inf,inf,inf
4277,91.41,88.08,10.71,72.85
4286,228.71,248.71,182.23,199.87
4288,25.02,46.31,33.68,44.11
4290,inf,inf,inf,inf
4294,inf,inf,inf,inf
4296,inf,inf,inf,inf
4300,inf,inf,inf,inf
4303,inf,inf,inf,inf
4309,12.5,35.9,8.97,4.84
4314,inf,inf,inf,inf
4316,inf,inf,inf,inf
4319,inf,inf,inf,inf
4328,60.3,60.1,79.74,89.09
4329,8.5,11.77,14.37,18.3
4330,22.96,26.19,10.02,7.13
4332,68.56,61.88,44.5,52.54
4333,9.28,9.65,3.51,7.47
4337,91.2,89.6,100.75,101.41
4341,21.03,14.82,3.9,4.22
4344,inf,inf,inf,inf
4346,inf,inf,inf,inf
4355,13.72,9.93,10.94,11.35
4363,47.27,40.4,55.33,44.24
4364,43.62,31.69,34.19,22.51
4370,inf,inf,inf,inf
4372,inf,inf,inf,inf
4379,42.16,36.14,32.96,29.51
4380,87.7,76.54,76.88,77.38
4389,30.24,24.66,7.96,14.15
4390,inf,inf,inf,inf
4392,inf,inf,inf,inf
4393,97.92,98.42,8.84,9.32
4394,inf,inf,inf,inf
4397,inf,inf,inf,inf
4399,inf,inf,inf,inf
4405,inf,inf,inf,inf
4406,5.53,12.07,119.38,87.4
4407,61.85,52.17,6.59,8.74
4411,inf,inf,inf,inf
4413,inf,inf,inf,inf
4414,inf,inf,inf,inf
4415,inf,inf,inf,inf
4420,92.11,96.05,6.73,5.52
4425,14.98,2.39,32.83,66.46
4426,inf,inf,inf,inf
4427,76.13,48.11,26.54,26.72
4428,79.24,60.27,16.31,23.42
4431,38.73,24.51,14.03,20.3
4433,38.7,39.89,18.36,16.29
4434,inf,inf,inf,inf
4439,inf,inf,inf,inf
4441,91.01,90.34,4.58,26.58
4442,inf,inf,inf,inf
4445,inf,inf,inf,inf
4446,inf,inf,inf,inf
4449,inf,inf,inf,inf
4457,36.35,58.34,21.18,15.14
4460,inf,inf,inf,inf
4463,inf,inf,inf,inf
4467,inf,inf,inf,inf
4472,inf,inf,inf,inf
4473,inf,inf,inf,inf
4475,inf,inf,inf,inf
4476,inf,inf,inf,inf
4477,inf,inf,inf,inf
4480,66.62,70.03,43.92,55.02
4481,57.39,52.77,8.21,40.47
4482,inf,inf,inf,inf
4484,inf,inf,inf,inf
4494,inf,inf,inf,inf
4496,inf,inf,inf,inf
4499,inf,inf,inf,inf
4502,23.78,39.2,135.13,174.55
4506,inf,inf,inf,inf
4507,30.65,1.98,97.59,117.61
4510,inf,inf,inf,inf
4514,inf,inf,inf,inf
4515,inf,inf,inf,inf
4517,inf,inf,inf,inf
4518,inf,inf,inf,inf
4519,inf,inf,inf,inf
4520,inf,inf,inf,inf
4521,inf,inf,inf,inf
4528,inf,inf,inf,inf
4530,72.03,67.27,8.19,4.37
4531,inf,inf,inf,inf
4533,46.71,52.92,55.64,47.55
