,éûçèï 
3111,11.21
3113,inf
3115,inf
3116,inf
3118,inf
3119,inf
3121,inf
3122,inf
3123,inf
3125,65.48
3126,inf
3128,inf
3130,1.58
3131,3.12
3132,9.96
3135,10.29
3136,inf
3138,inf
3140,inf
3141,inf
3146,37.78
3147,inf
3149,inf
3151,2.86
3153,9.29
3154,6.8
3157,2.36
3159,7.89
3160,14.37
3162,21.57
3163,36.82
3164,12.72
3165,9.09
3167,31.4
3169,42.66
3170,38.79
3171,42.62
3173,45.72
3174,3.85
3175,5.0
3176,32.17
3177,4.7
3178,6.38
3179,9.18
3180,17.29
3181,2.02
3182,1.13
3184,42.21
3185,inf
3188,inf
3189,70.28
3190,inf
3191,inf
3192,inf
3193,inf
3194,inf
3195,inf
3196,inf
3197,77.85
3202,1.48
3203,7.55
3206,2.42
3207,10.23
3208,18.49
3209,inf
3211,66.8
3212,inf
3213,inf
3215,inf
3217,inf
3219,65.9
3222,inf
3223,2.6
3225,15.06
3226,7.42
3227,17.71
3229,15.07
3230,8.53
3231,19.54
3233,inf
3234,inf
3236,48.46
3240,inf
3241,inf
3242,inf
3243,inf
3244,69.57
3245,inf
3248,inf
3249,9.81
3250,20.2
3251,14.95
3253,36.04
3256,inf
3257,inf
3258,inf
3259,inf
3260,inf
3262,73.17
3265,inf
3267,inf
3268,inf
3269,83.94
3270,inf
3271,inf
3279,38.24
3281,inf
3283,inf
3284,inf
3285,inf
3286,inf
3287,62.63
3289,inf
3291,inf
3292,inf
