,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1811,2.68,31.53
1812,10.18,10.06
1815,3.48,1.56
1825,inf,inf
1828,inf,inf
1837,15.91,31.24
1843,66.31,6.28
1844,inf,inf
1850,inf,inf
1851,60.11,0.09
1853,inf,inf
1856,25.66,4.34
1859,48.37,19.41
1864,30.52,8.08
1868,inf,inf
1871,inf,inf
1872,60.62,0.63
1874,inf,inf
1876,inf,inf
1891,71.4,3.2
1898,inf,inf
1900,59.62,0.34
1902,inf,inf
1907,inf,inf
1911,42.63,2.44
1914,inf,inf
1921,inf,inf
1922,inf,inf
1923,inf,inf
1925,inf,inf
1927,78.62,4.2
1930,76.8,22.24
1935,33.5,8.03
1936,inf,inf
1937,28.07,5.19
1938,85.27,3.14
1942,inf,inf
1945,inf,inf
1969,inf,inf
1979,24.57,17.31
1981,10.63,13.09
1983,8.65,10.79
1984,3.42,9.82
1989,inf,inf
1992,58.82,0.88
1995,inf,inf
1996,inf,inf
1997,inf,inf
2000,23.42,28.2
2003,85.45,11.51
2008,37.7,7.33
2009,75.55,3.01
2029,41.81,10.53
2030,8.35,9.53
2032,19.02,12.61
2040,inf,inf
2041,inf,inf
2042,inf,inf
2043,36.23,2.32
2045,inf,inf
2049,79.58,28.2
2052,73.58,17.55
2053,24.42,37.66
2054,30.25,11.14
2057,8.56,3.33
2059,inf,inf
2060,inf,inf
2062,inf,inf
2063,inf,inf
2064,inf,inf
2069,72.35,2.02
2071,102.06,1.04
2073,inf,inf
2074,inf,inf
2078,inf,inf
2080,inf,inf
2093,inf,inf
2095,inf,inf
2096,inf,inf
2097,inf,inf
2099,76.65,1.06
2100,inf,inf
2105,inf,inf
2108,inf,inf
2119,55.61,49.77
2122,53.51,12.36
2131,inf,inf
2137,inf,inf
2139,inf,inf
2140,inf,inf
2142,89.77,2.77
2148,75.11,13.71
2149,154.1,26.57
2150,16.29,10.39
2151,1.83,7.98
2155,inf,inf
2158,inf,inf
2159,inf,inf
2164,inf,inf
2166,inf,inf
2178,90.54,6.49
2179,64.35,2.79
2182,inf,inf
2183,inf,inf
2184,inf,inf
2186,68.22,1.99
2190,inf,inf
2192,37.38,6.97
2194,inf,inf
2196,104.74,37.58
2197,8.28,39.12
2198,9.59,45.7
2199,inf,inf
2200,71.03,26.67
2202,inf,inf
2206,inf,inf
2212,87.34,0.01
2213,84.53,11.49
2218,36.34,8.44
2219,26.93,9.47
2223,inf,inf
2231,inf,inf
2238,inf,inf
2241,inf,inf
2243,inf,inf
2246,23.65,10.4
2253,inf,inf
2255,inf,inf
2256,inf,inf
2258,inf,inf
2269,inf,inf
2273,inf,inf
2281,inf,inf
2282,inf,inf
2285,inf,inf
2286,36.49,1.83
2287,inf,inf
2290,43.54,31.41
2292,32.46,17.33
2294,43.91,30.54
2298,inf,inf
2300,61.64,1.47
2301,52.41,1.74
2303,inf,inf
2304,54.32,3.06
2313,69.38,33.47
2314,204.54,16.26
2317,40.1,28.32
2322,inf,inf
2324,inf,inf
2325,inf,inf
2327,65.72,6.71
2330,inf,inf
2333,inf,inf
2334,inf,inf
2337,199.02,16.77
2340,40.96,12.84
2345,26.53,4.42
2347,inf,inf
2351,inf,inf
2355,inf,inf
2360,52.25,26.61
2366,19.68,6.63
2370,inf,inf
2371,64.91,6.04
2372,inf,inf
2377,inf,inf
2384,45.27,16.84
2385,inf,inf
2387,95.38,22.03
2391,105.57,13.25
2392,1.41,17.45
2393,inf,inf
2396,inf,inf
2398,inf,inf
2405,inf,inf
2406,inf,inf
2407,97.76,9.74
2408,inf,inf
2409,13.3,176.59
2416,inf,inf
2417,inf,inf
2418,inf,inf
2419,inf,inf
2422,68.55,4.9
2423,inf,inf
2430,72.11,12.15
2433,116.54,23.05
2434,72.59,47.41
2447,69.6,0.89
2448,inf,inf
2450,67.01,0.9
2451,66.64,2.49
2452,inf,inf
2455,3.67,8.39
2463,15.48,23.13
2468,inf,inf
2472,inf,inf
2475,inf,inf
2480,42.14,19.35
2485,19.01,15.34
2492,inf,inf
2505,60.67,7.28
2508,7.1,15.1
2512,33.63,20.51
2520,63.01,3.17
2521,inf,inf
2523,inf,inf
2527,65.05,26.05
2528,52.25,27.59
2529,25.68,8.2
2531,33.72,5.27
2532,72.58,54.64
2537,48.63,5.02
2540,inf,inf
2541,81.5,2.43
2543,75.07,3.51
2544,inf,inf
2546,86.08,3.44
2558,58.24,52.57
2560,9.16,11.12
2561,35.72,0.78
2562,inf,inf
2563,105.76,4.8
2565,inf,inf
2567,inf,inf
2569,54.04,1.77
2575,80.83,22.52
2579,inf,inf
2580,76.27,18.06
2581,inf,inf
2587,inf,inf
2588,63.57,4.53
2589,inf,inf
2592,inf,inf
2596,inf,inf
2597,93.6,6.77
2598,inf,inf
2599,151.94,6.14
2600,inf,inf
2602,8.77,69.2
2603,inf,inf
2610,inf,inf
2611,inf,inf
2612,inf,inf
2618,inf,inf
2619,inf,inf
2621,inf,inf
2623,inf,inf
2625,24.95,13.3
2632,7.01,3.83
2634,24.1,30.25
2635,75.38,0.35
2636,inf,inf
2640,inf,inf
2642,89.62,0.05
2643,92.46,2.27
2647,33.64,26.33
2648,1.82,9.37
2653,3.54,1.32
2654,3.49,9.86
2658,inf,inf
2659,55.93,5.77
2661,77.86,0.58
2663,inf,inf
2664,inf,inf
2666,inf,inf
2667,64.51,2.84
2669,inf,inf
2670,21.6,9.85
2672,27.49,34.04
2676,15.55,11.35
2684,inf,inf
2685,59.11,3.34
2692,86.79,3.22
