,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
18116,inf,inf,inf,inf
18117,inf,inf,inf,inf
18118,inf,inf,inf,inf
18120,78.31,77.28,0.75,0.06
18123,inf,inf,inf,inf
18124,66.66,58.77,0.33,0.13
18125,inf,inf,inf,inf
18126,34.82,36.54,34.47,25.98
18127,inf,inf,inf,inf
18128,5.2,19.33,47.87,48.27
18130,16.79,17.08,7.12,0.59
18131,2.23,6.66,24.0,24.99
18132,29.17,0.63,23.23,21.85
18134,82.86,52.31,35.71,24.88
18135,283.02,242.43,48.76,41.59
18136,121.44,87.15,22.21,16.95
18137,15.0,14.8,24.16,20.66
18139,inf,inf,inf,inf
18141,52.64,59.69,0.26,1.16
18142,inf,inf,inf,inf
18145,inf,inf,inf,inf
18147,inf,inf,inf,inf
18149,50.55,24.13,7.32,15.85
18150,15.66,7.01,26.35,36.99
18151,inf,inf,inf,inf
18152,inf,inf,inf,inf
18153,inf,inf,inf,inf
18154,45.12,74.21,17.25,21.2
18155,inf,inf,inf,inf
18156,inf,inf,inf,inf
18158,inf,inf,inf,inf
18159,inf,inf,inf,inf
18161,63.61,63.34,20.26,19.71
18163,inf,inf,inf,inf
18165,inf,inf,inf,inf
18166,inf,inf,inf,inf
18167,inf,inf,inf,inf
18169,inf,inf,inf,inf
18171,71.85,39.59,2.9,1.02
18173,inf,inf,inf,inf
18174,inf,inf,inf,inf
18175,56.44,95.44,17.58,9.69
18176,inf,inf,inf,inf
18177,inf,inf,inf,inf
18180,50.51,60.18,3.81,3.2
18181,86.62,88.84,12.15,3.54
18182,inf,inf,inf,inf
18183,inf,inf,inf,inf
18184,inf,inf,inf,inf
18186,inf,inf,inf,inf
18187,53.25,51.85,3.23,4.7
18191,inf,inf,inf,inf
18192,inf,inf,inf,inf
18194,inf,inf,inf,inf
18195,69.02,71.04,1.96,2.56
18196,inf,inf,inf,inf
18198,inf,inf,inf,inf
18199,inf,inf,inf,inf
18201,inf,inf,inf,inf
18202,61.13,54.52,5.09,4.54
18204,inf,inf,inf,inf
18206,76.09,45.35,4.04,3.25
18208,inf,inf,inf,inf
18209,inf,inf,inf,inf
18212,inf,inf,inf,inf
18213,inf,inf,inf,inf
18214,inf,inf,inf,inf
18215,inf,inf,inf,inf
18216,inf,inf,inf,inf
18220,inf,inf,inf,inf
18221,inf,inf,inf,inf
18222,13.66,30.2,12.43,12.9
18223,17.09,32.16,16.47,15.03
18224,inf,inf,inf,inf
18225,15.24,28.46,16.03,4.81
18226,43.39,56.45,8.83,1.06
18227,inf,inf,inf,inf
18228,inf,inf,inf,inf
18230,66.4,43.57,4.64,5.18
18231,inf,inf,inf,inf
18232,inf,inf,inf,inf
18233,71.67,66.48,6.63,6.44
18234,inf,inf,inf,inf
18235,inf,inf,inf,inf
18236,inf,inf,inf,inf
18237,inf,inf,inf,inf
18238,inf,inf,inf,inf
18239,47.81,41.78,2.46,1.58
18240,inf,inf,inf,inf
18241,54.36,61.65,0.31,0.01
18242,inf,inf,inf,inf
18243,39.23,62.07,5.24,3.5
18244,inf,inf,inf,inf
18245,inf,inf,inf,inf
18246,29.52,29.83,6.02,2.61
18247,inf,inf,inf,inf
18248,27.4,14.99,3.79,4.2
18249,inf,inf,inf,inf
18250,34.29,36.47,2.96,6.03
18251,inf,inf,inf,inf
18253,inf,inf,inf,inf
18255,inf,inf,inf,inf
18257,inf,inf,inf,inf
18258,inf,inf,inf,inf
18260,inf,inf,inf,inf
18261,inf,inf,inf,inf
18262,inf,inf,inf,inf
18263,60.6,52.58,1.03,0.04
18264,72.15,60.2,0.13,2.58
18266,inf,inf,inf,inf
18267,61.91,56.15,0.13,0.19
18268,inf,inf,inf,inf
18270,31.96,23.02,0.38,6.37
18271,36.75,22.88,1.28,1.32
18273,50.91,55.85,1.54,4.03
18274,inf,inf,inf,inf
