,éûçèï 
4382,42.81
4384,15.63
4393,inf
4395,inf
4398,inf
4401,27.39
4413,inf
4416,84.08
4421,76.27
4422,inf
4424,inf
4425,inf
4429,inf
4434,83.38
4438,inf
4441,77.62
4444,inf
4445,inf
4446,87.49
4458,20.62
4461,inf
4466,inf
4467,inf
4468,inf
4470,inf
4476,26.15
4481,5.6
4484,37.22
4488,95.17
4490,inf
4496,inf
4499,33.68
4501,9.1
4505,1.74
4506,77.04
4511,inf
4514,inf
4516,inf
4518,inf
4520,inf
4521,0.21
4522,11.45
4527,5.71
4530,43.61
4536,inf
4542,inf
4545,45.81
4547,51.76
4549,25.87
4552,2.95
4554,26.9
4556,inf
4559,inf
4560,inf
4562,71.93
4563,inf
4567,83.31
4569,168.74
4574,22.77
4577,3.58
4578,42.61
4582,inf
4589,inf
4590,inf
4591,inf
4594,8.8
4595,61.04
4600,3.32
4605,inf
4609,inf
4613,84.35
4616,inf
4623,40.23
4624,inf
4628,inf
4632,inf
4640,inf
4653,inf
4655,inf
4665,2.2
4667,20.14
4668,3.42
4671,7.13
4678,inf
4680,inf
4682,inf
4685,inf
4686,inf
4689,34.73
4694,44.85
4695,4.35
4700,inf
4705,inf
4706,inf
4709,inf
4711,inf
4712,inf
4721,32.07
4726,inf
4727,inf
4729,inf
4731,inf
4733,inf
4734,inf
4736,63.22
4739,107.91
4746,13.32
4757,94.43
4760,inf
4763,58.01
4765,5.25
4766,50.47
4767,10.95
4772,inf
4777,inf
4782,inf
4787,67.97
4791,42.85
4792,inf
4797,inf
4799,inf
4800,inf
4801,97.87
4802,inf
4803,inf
4810,62.5
4821,inf
4822,89.67
4825,inf
4829,inf
4834,50.75
4837,53.47
4843,inf
4848,90.8
4852,inf
4853,97.45
4854,inf
4862,85.54
4865,35.43
4867,26.28
4868,inf
4869,53.19
4874,inf
4878,inf
4883,61.87
4892,45.14
4900,inf
4914,inf
4926,inf
4927,inf
4930,inf
4934,inf
4936,inf
4937,inf
4942,inf
4952,84.54
4958,64.03
4960,inf
4962,inf
4967,inf
4977,inf
4982,17.96
4983,65.43
4987,inf
4995,inf
4997,41.33
5003,inf
5005,inf
5007,25.24
5009,69.53
5011,inf
5017,inf
5020,81.3
5025,inf
5029,inf
5030,inf
5031,inf
5032,24.56
5035,inf
5044,inf
5047,inf
5048,inf
5051,31.64
5054,82.7
5057,26.38
5058,inf
5060,inf
5062,inf
5065,inf
5067,inf
5071,inf
5073,inf
5087,inf
5090,inf
5091,inf
5106,inf
5108,inf
5110,inf
5111,inf
5118,inf
5120,inf
5122,inf
5126,88.43
5136,inf
5138,98.82
5139,inf
5141,inf
5149,75.78
5155,inf
5161,inf
5166,87.23
5173,inf
5174,95.91
5175,inf
5176,35.68
5178,inf
5179,inf
5181,inf
5184,inf
5185,76.92
5186,inf
5192,inf
5193,inf
5196,inf
5197,75.86
5198,73.64
5199,45.98
5200,89.07
5202,inf
5204,inf
5215,89.09
5218,inf
5220,inf
5222,87.29
5224,inf
5230,inf
5233,inf
5235,89.88
5240,inf
5244,inf
5247,inf
5252,inf
5257,86.64
5261,inf
5264,97.55
5271,inf
5279,91.31
5280,inf
5281,inf
5282,inf
5283,inf
5303,inf
5318,inf
5322,inf
5326,95.94
5329,inf
5331,inf
5333,inf
5336,inf
5337,57.03
5339,inf
5340,inf
5342,11.12
5347,46.89
5348,inf
5352,inf
5353,78.58
5355,inf
5358,79.6
5363,inf
5367,inf
5379,inf
5382,inf
5383,inf
5387,inf
5388,inf
5389,inf
5395,60.41
5397,inf
5399,inf
5402,inf
5404,inf
5405,inf
5408,inf
5412,inf
5418,inf
5419,inf
5421,inf
5425,inf
5427,98.03
5430,inf
5432,21.83
5437,inf
5439,inf
5443,73.36
5445,inf
5446,inf
5447,inf
5452,inf
5454,inf
5455,inf
5464,50.72
5466,inf
5467,inf
5474,inf
5486,inf
5487,inf
5490,43.73
5491,inf
5497,inf
5500,inf
5509,inf
5514,inf
5515,inf
5516,inf
5518,inf
5525,inf
5526,inf
5527,inf
5530,inf
5531,inf
5532,inf
5533,85.5
5538,inf
5540,inf
5543,inf
5545,inf
5551,inf
5554,inf
5555,87.28
5556,inf
5561,inf
5568,inf
5576,72.24
5584,inf
5585,inf
5586,inf
5587,67.99
5590,inf
5598,83.79
5601,inf
5602,inf
5603,98.06
5604,inf
5607,inf
5610,inf
5613,inf
5615,inf
5618,inf
5621,inf
5622,inf
5624,inf
5627,inf
5635,49.97
5639,inf
5645,99.77
5649,84.59
5654,60.93
5656,inf
5662,inf
5666,inf
5671,inf
5676,inf
5686,inf
5688,inf
5692,inf
5695,inf
5698,inf
