,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2019-02-21,12,9,24,10,6,0,5,11,12,3,7,10,1
2019-02-22,13,7,24,11,6,0,0,11,12,3,2,12,1
2019-02-23,4,11,22,11,5,0,0,10,12,3,3,13,1
2019-02-24,12,11,24,2,13,0,0,3,4,3,2,11,1
2019-02-25,9,13,23,10,8,0,1,11,12,5,11,11,2
2019-02-26,8,11,24,7,7,0,2,11,12,5,10,13,1
2019-02-27,13,12,24,5,8,0,2,10,13,6,8,9,1
2019-02-28,11,15,24,9,8,0,0,10,13,4,8,10,1
2019-03-01,12,13,24,6,7,0,0,10,13,3,2,13,1
2019-03-02,13,10,24,11,9,0,0,10,12,3,3,12,9
2019-03-03,13,12,24,3,15,0,0,3,4,7,2,10,11
2019-03-04,7,13,23,6,9,0,0,9,13,4,11,11,10
2019-03-05,7,15,23,6,8,0,0,11,12,3,2,11,1
2019-03-06,13,11,24,2,7,0,0,11,12,3,10,9,12
2019-03-07,14,9,22,9,7,0,0,10,12,5,8,11,2
2019-03-08,9,13,23,4,5,0,0,10,12,4,10,10,1
2019-03-09,4,3,22,10,6,0,0,7,8,3,2,11,1
2019-03-10,8,12,23,3,9,0,0,2,4,9,2,11,7
2019-03-11,12,12,24,4,7,0,0,11,12,3,10,11,3
2019-03-12,8,14,23,5,7,0,0,11,13,3,7,2,1
2019-03-13,7,3,24,12,5,0,0,10,12,4,8,2,7
2019-03-14,12,13,24,9,7,0,0,11,12,3,11,11,1
2019-03-15,12,15,24,7,8,0,0,11,13,3,10,12,1
2019-03-16,4,3,24,9,5,0,0,2,10,3,3,17,5
2019-03-17,12,16,24,2,12,0,0,2,4,6,2,10,3
2019-03-18,8,11,24,10,5,0,0,11,12,4,10,12,3
2019-03-19,4,14,23,3,4,0,0,10,13,3,2,6,1
2019-03-20,9,12,23,3,5,0,0,12,13,3,3,3,1
2019-03-21,4,8,24,2,7,0,0,10,12,3,2,4,1
2019-03-22,8,4,24,3,5,0,0,11,13,3,2,4,1
2019-03-23,7,14,23,11,5,0,0,3,12,6,3,12,9
2019-03-24,12,13,24,6,12,0,0,2,4,3,2,12,2
2019-03-25,7,12,22,7,5,0,0,11,13,3,3,2,1
2019-03-26,5,9,24,2,4,0,0,11,12,4,2,3,1
2019-03-27,13,13,23,3,5,0,0,10,12,3,2,2,2
2019-03-28,13,13,24,2,4,0,0,11,12,3,3,4,1
2019-03-29,13,4,24,8,5,0,0,11,14,3,2,17,1
2019-03-30,9,3,24,11,4,0,0,2,12,3,7,11,1
2019-03-31,11,14,24,2,8,0,0,3,4,3,2,2,1
2019-04-01,6,12,24,3,5,0,0,11,12,4,2,2,1
2019-04-02,4,15,24,11,14,0,0,11,13,3,6,3,1
2019-04-03,12,9,24,9,7,0,0,11,13,3,8,11,1
2019-04-04,13,13,24,3,6,0,0,10,13,3,10,8,1
2019-04-05,13,3,24,3,5,0,0,12,12,3,5,2,2
2019-04-06,11,3,24,2,4,0,0,11,12,3,8,3,1
2019-04-07,5,9,24,3,6,0,0,2,4,4,2,3,1
2019-04-08,6,12,24,2,5,0,0,11,12,3,8,2,1
2019-04-09,5,4,23,3,5,0,0,12,12,3,9,4,2
2019-04-10,13,11,24,13,4,0,0,11,13,3,3,16,5
2019-04-11,12,6,24,9,7,0,0,11,13,3,10,2,3
2019-04-12,13,4,24,10,6,0,0,10,12,4,9,9,1
2019-04-13,8,17,24,11,5,0,0,10,12,3,7,7,1
2019-04-14,13,15,24,2,5,0,0,3,4,3,2,6,6
2019-04-15,4,8,24,3,6,0,0,10,11,3,2,2,4
2019-04-16,4,14,24,3,6,0,0,12,12,3,3,2,1
2019-04-17,12,3,24,2,4,0,0,12,13,3,2,2,1
2019-04-18,9,4,24,3,5,0,5,12,13,3,3,2,1
2019-04-19,7,3,24,2,5,0,9,12,14,4,2,2,1
2019-04-20,7,3,24,3,4,0,8,10,12,3,2,3,1
2019-04-21,4,11,24,3,4,0,0,2,4,3,3,2,1
2019-04-22,7,3,23,2,5,4,8,11,15,3,2,2,1
2019-04-23,4,12,24,3,8,2,9,10,14,3,3,3,1
2019-04-24,8,3,24,2,9,0,9,12,14,3,2,2,1
2019-04-25,5,5,23,3,16,3,9,11,14,3,6,2,5
2019-04-26,4,9,24,3,10,0,10,11,12,4,2,2,8
2019-04-27,12,3,24,2,4,0,9,11,13,3,2,2,0
2019-04-28,10,8,24,3,4,0,0,3,5,3,2,2,0
2019-04-29,11,3,24,3,4,0,0,2,4,3,3,2,0
2019-04-30,4,4,24,9,5,0,3,10,13,3,10,3,0
2019-05-01,11,3,23,3,4,0,0,3,4,3,2,2,0
2019-05-02,9,3,24,3,5,0,8,11,13,4,10,2,0
2019-05-03,4,3,23,2,4,0,7,11,13,10,4,2,0
2019-05-04,5,3,23,3,4,0,9,10,12,3,2,2,0
2019-05-05,4,3,22,2,4,0,0,2,5,2,3,2,0
2019-05-06,4,4,23,3,4,0,0,3,4,3,2,2,0
2019-05-07,5,3,24,3,7,0,9,11,13,3,2,2,0
2019-05-08,4,3,23,2,4,0,8,11,13,3,3,2,0
2019-05-09,4,3,23,3,13,0,8,10,12,3,2,2,0
2019-05-10,11,3,23,2,9,0,10,13,14,3,6,4,2
2019-05-11,13,7,24,3,5,5,9,11,12,3,2,2,0
2019-05-12,4,5,23,3,11,0,1,2,4,9,2,2,0
2019-05-13,4,3,24,2,9,2,9,12,12,2,2,2,0
2019-05-14,4,3,24,3,10,5,10,10,15,5,3,2,1
2019-05-15,4,4,24,2,11,7,9,14,14,2,10,2,2
2019-05-16,10,5,24,4,14,7,10,15,14,9,10,3,0
2019-05-17,8,3,23,10,15,7,9,10,14,3,9,5,2
2019-05-18,12,8,24,3,12,9,10,11,12,3,2,2,2
